服务器名,响应IP,福州电信,泉州电信,厦门移动
autumn.ns.cloudflare.com,108.162.194.148,59ms,72ms,202ms
brad.ns.cloudflare.com,172.64.33.105,59ms,59ms,191ms
cosmin.ns.cloudflare.com,172.64.35.45,59ms,59ms,207ms
dan.ns.cloudflare.com,172.64.33.108,59ms,67ms,38ms
jake.ns.cloudflare.com,172.64.33.122,59ms,57ms,35ms
jamie.ns.cloudflare.com,173.245.58.168,59ms,79ms,190ms
jonah.ns.cloudflare.com,173.245.59.186,59ms,60ms,213ms
karina.ns.cloudflare.com,172.64.32.178,59ms,57ms,191ms
kip.ns.cloudflare.com,172.64.33.128,59ms,55ms,215ms
lou.ns.cloudflare.com,173.245.59.199,59ms,66ms,超时
meadow.ns.cloudflare.com,108.162.194.51,59ms,79ms,41ms
michael.ns.cloudflare.com,172.64.35.12,59ms,73ms,202ms
nina.ns.cloudflare.com,173.245.58.136,59ms,66ms,187ms
rafe.ns.cloudflare.com,108.162.192.216,59ms,62ms,42ms
riya.ns.cloudflare.com,172.64.34.155,59ms,64ms,209ms
steven.ns.cloudflare.com,172.64.35.17,59ms,71ms,203ms
yisroel.ns.cloudflare.com,172.64.35.185,59ms,74ms,32ms
armando.ns.cloudflare.com,162.159.44.225,60ms,64ms,209ms
buck.ns.cloudflare.com,172.64.33.78,60ms,76ms,189ms
ian.ns.cloudflare.com,108.162.193.118,60ms,60ms,192ms
mia.ns.cloudflare.com,173.245.58.200,60ms,79ms,186ms
osmar.ns.cloudflare.com,172.64.35.124,60ms,57ms,193ms
sandra.ns.cloudflare.com,108.162.194.34,60ms,69ms,191ms
suzanne.ns.cloudflare.com,108.162.194.87,60ms,超时,210ms
sydney.ns.cloudflare.com,172.64.34.102,60ms,77ms,202ms
tessa.ns.cloudflare.com,172.64.34.229,60ms,64ms,215ms
aitana.ns.cloudflare.com,108.162.194.222,61ms,58ms,40ms
amanda.ns.cloudflare.com,108.162.192.63,61ms,65ms,29ms
ara.ns.cloudflare.com,108.162.192.67,61ms,超时,211ms
coraline.ns.cloudflare.com,172.64.34.88,61ms,79ms,186ms
daphne.ns.cloudflare.com,108.162.194.169,61ms,59ms,超时
harleigh.ns.cloudflare.com,172.64.34.58,61ms,70ms,29ms
holly.ns.cloudflare.com,108.162.194.133,61ms,64ms,超时
igor.ns.cloudflare.com,172.64.33.119,61ms,74ms,196ms
imani.ns.cloudflare.com,162.159.38.62,61ms,71ms,181ms
ivy.ns.cloudflare.com,173.245.58.120,61ms,59ms,193ms
jarred.ns.cloudflare.com,108.162.195.126,61ms,75ms,37ms
joyce.ns.cloudflare.com,162.159.38.14,61ms,47ms,199ms
ligia.ns.cloudflare.com,108.162.194.4,61ms,70ms,201ms
tim.ns.cloudflare.com,108.162.193.145,61ms,71ms,40ms
tori.ns.cloudflare.com,173.245.58.231,61ms,59ms,超时
wren.ns.cloudflare.com,172.64.34.141,61ms,80ms,36ms
aaden.ns.cloudflare.com,172.64.35.92,62ms,68ms,32ms
alec.ns.cloudflare.com,173.245.59.59,62ms,64ms,超时
amber.ns.cloudflare.com,108.162.192.64,62ms,66ms,38ms
aryanna.ns.cloudflare.com,172.64.34.95,62ms,60ms,37ms
carrera.ns.cloudflare.com,162.159.38.231,62ms,59ms,181ms
cass.ns.cloudflare.com,172.64.32.81,62ms,74ms,211ms
dina.ns.cloudflare.com,108.162.192.107,62ms,71ms,28ms
jerry.ns.cloudflare.com,172.64.33.182,62ms,68ms,209ms
kehlani.ns.cloudflare.com,162.159.38.223,62ms,45ms,176ms
porter.ns.cloudflare.com,108.162.195.243,62ms,82ms,39ms
bradley.ns.cloudflare.com,162.159.44.35,63ms,62ms,174ms
damien.ns.cloudflare.com,172.64.35.168,63ms,66ms,超时
haley.ns.cloudflare.com,172.64.34.15,63ms,73ms,超时
linda.ns.cloudflare.com,108.162.192.250,63ms,55ms,189ms
matteo.ns.cloudflare.com,162.159.44.224,63ms,82ms,204ms
romina.ns.cloudflare.com,108.162.194.159,63ms,66ms,237ms
anderson.ns.cloudflare.com,108.162.195.177,64ms,68ms,218ms
clarissa.ns.cloudflare.com,108.162.194.123,64ms,72ms,33ms
dolly.ns.cloudflare.com,173.245.58.98,64ms,89ms,199ms
gerald.ns.cloudflare.com,172.64.33.168,64ms,79ms,32ms
joselyn.ns.cloudflare.com,162.159.38.43,64ms,58ms,206ms
norah.ns.cloudflare.com,108.162.194.70,64ms,67ms,207ms
ricardo.ns.cloudflare.com,108.162.195.211,64ms,59ms,192ms
rocco.ns.cloudflare.com,108.162.195.121,64ms,88ms,超时
surina.ns.cloudflare.com,162.159.38.19,64ms,56ms,188ms
vivienne.ns.cloudflare.com,162.159.38.50,64ms,52ms,188ms
woz.ns.cloudflare.com,173.245.59.150,64ms,57ms,218ms
amos.ns.cloudflare.com,172.64.35.120,65ms,60ms,223ms
arushi.ns.cloudflare.com,172.64.34.61,65ms,75ms,47ms
bailey.ns.cloudflare.com,108.162.194.41,65ms,56ms,48ms
brenna.ns.cloudflare.com,172.64.34.176,65ms,72ms,41ms
carlos.ns.cloudflare.com,172.64.35.112,65ms,83ms,188ms
curt.ns.cloudflare.com,173.245.59.94,65ms,68ms,197ms
dakota.ns.cloudflare.com,162.159.44.79,65ms,64ms,196ms
desiree.ns.cloudflare.com,162.159.38.13,65ms,63ms,195ms
dylan.ns.cloudflare.com,162.159.44.187,65ms,49ms,超时
gigi.ns.cloudflare.com,172.64.34.12,65ms,62ms,213ms
guss.ns.cloudflare.com,172.64.33.172,65ms,62ms,195ms
hadlee.ns.cloudflare.com,108.162.194.67,65ms,59ms,206ms
henry.ns.cloudflare.com,173.245.59.176,65ms,59ms,45ms
irma.ns.cloudflare.com,173.245.58.166,65ms,73ms,187ms
kyle.ns.cloudflare.com,172.64.35.111,65ms,71ms,215ms
lauryn.ns.cloudflare.com,162.159.38.22,65ms,54ms,192ms
melody.ns.cloudflare.com,108.162.194.250,65ms,56ms,223ms
mitchell.ns.cloudflare.com,162.159.44.231,65ms,53ms,196ms
nola.ns.cloudflare.com,172.64.32.212,65ms,69ms,超时
sasha.ns.cloudflare.com,162.159.38.69,65ms,54ms,185ms
savanna.ns.cloudflare.com,172.64.34.136,65ms,60ms,193ms
sid.ns.cloudflare.com,108.162.193.143,65ms,62ms,183ms
tadeo.ns.cloudflare.com,108.162.195.197,65ms,61ms,206ms
aldo.ns.cloudflare.com,162.159.44.248,66ms,56ms,191ms
cheryl.ns.cloudflare.com,108.162.192.83,66ms,57ms,39ms
dalary.ns.cloudflare.com,162.159.38.220,66ms,61ms,196ms
dayana.ns.cloudflare.com,108.162.194.103,66ms,74ms,215ms
eugene.ns.cloudflare.com,162.159.44.72,66ms,57ms,193ms
frank.ns.cloudflare.com,108.162.193.166,66ms,66ms,213ms
greg.ns.cloudflare.com,172.64.33.115,66ms,84ms,200ms
heidi.ns.cloudflare.com,162.159.38.236,66ms,69ms,182ms
hunts.ns.cloudflare.com,108.162.195.46,66ms,60ms,43ms
jen.ns.cloudflare.com,172.64.34.185,66ms,62ms,206ms
jerome.ns.cloudflare.com,108.162.193.181,66ms,59ms,201ms
khloe.ns.cloudflare.com,108.162.194.139,66ms,60ms,215ms
lana.ns.cloudflare.com,108.162.192.182,66ms,74ms,超时
lynn.ns.cloudflare.com,108.162.193.201,66ms,59ms,33ms
meilani.ns.cloudflare.com,108.162.194.196,66ms,80ms,211ms
ned.ns.cloudflare.com,172.64.33.210,66ms,70ms,210ms
nora.ns.cloudflare.com,173.245.58.213,66ms,74ms,194ms
ophelia.ns.cloudflare.com,162.159.38.248,66ms,63ms,超时
rex.ns.cloudflare.com,172.64.35.13,66ms,66ms,220ms
skip.ns.cloudflare.com,172.64.33.233,66ms,80ms,214ms
sreeni.ns.cloudflare.com,162.159.38.178,66ms,57ms,220ms
treasure.ns.cloudflare.com,172.64.34.116,66ms,81ms,213ms
zoe.ns.cloudflare.com,173.245.58.149,66ms,69ms,193ms
arvind.ns.cloudflare.com,172.64.35.227,67ms,56ms,46ms
benedict.ns.cloudflare.com,162.159.44.205,67ms,64ms,184ms
desi.ns.cloudflare.com,173.245.58.96,67ms,59ms,201ms
galilea.ns.cloudflare.com,162.159.38.233,67ms,57ms,200ms
hasslo.ns.cloudflare.com,162.159.44.134,67ms,53ms,185ms
irena.ns.cloudflare.com,162.159.38.79,67ms,42ms,181ms
keira.ns.cloudflare.com,172.64.34.206,67ms,74ms,195ms
kianchau.ns.cloudflare.com,108.162.195.179,67ms,56ms,190ms
lola.ns.cloudflare.com,172.64.32.132,67ms,64ms,31ms
noel.ns.cloudflare.com,172.64.33.216,67ms,74ms,196ms
rose.ns.cloudflare.com,108.162.192.141,67ms,79ms,42ms
christina.ns.cloudflare.com,172.64.34.193,68ms,61ms,33ms
conrad.ns.cloudflare.com,108.162.195.146,68ms,59ms,212ms
cortney.ns.cloudflare.com,108.162.192.87,68ms,71ms,196ms
destiny.ns.cloudflare.com,162.159.38.76,68ms,67ms,200ms
harvey.ns.cloudflare.com,172.64.35.152,68ms,60ms,206ms
kenia.ns.cloudflare.com,162.159.38.93,68ms,61ms,193ms
malavika.ns.cloudflare.com,108.162.194.165,68ms,70ms,210ms
molly.ns.cloudflare.com,172.64.32.205,68ms,65ms,221ms
monika.ns.cloudflare.com,108.162.194.56,68ms,68ms,超时
nitin.ns.cloudflare.com,108.162.193.215,68ms,56ms,31ms
pablo.ns.cloudflare.com,173.245.59.220,68ms,64ms,191ms
pat.ns.cloudflare.com,172.64.32.139,68ms,72ms,198ms
raquel.ns.cloudflare.com,108.162.194.210,68ms,79ms,188ms
sonia.ns.cloudflare.com,172.64.34.190,68ms,65ms,208ms
ximena.ns.cloudflare.com,108.162.194.10,68ms,67ms,208ms
ace.ns.cloudflare.com,108.162.195.65,69ms,58ms,233ms
adelaide.ns.cloudflare.com,162.159.38.1,69ms,53ms,215ms
alaric.ns.cloudflare.com,108.162.195.31,69ms,71ms,30ms
aragorn.ns.cloudflare.com,173.245.59.67,69ms,60ms,186ms
bayan.ns.cloudflare.com,108.162.193.72,69ms,64ms,189ms
bryce.ns.cloudflare.com,108.162.195.137,69ms,56ms,32ms
cartman.ns.cloudflare.com,108.162.195.219,69ms,62ms,167ms
chuck.ns.cloudflare.com,172.64.33.86,69ms,74ms,28ms
emerie.ns.cloudflare.com,108.162.194.115,69ms,74ms,230ms
grace.ns.cloudflare.com,172.64.32.159,69ms,73ms,207ms
kristina.ns.cloudflare.com,162.159.38.125,69ms,55ms,214ms
laila.ns.cloudflare.com,172.64.34.122,69ms,66ms,233ms
lennon.ns.cloudflare.com,172.64.35.165,69ms,57ms,206ms
maria.ns.cloudflare.com,172.64.32.192,69ms,69ms,186ms
renan.ns.cloudflare.com,162.159.44.62,69ms,72ms,197ms
sterling.ns.cloudflare.com,172.64.35.143,69ms,80ms,203ms
sullivan.ns.cloudflare.com,172.64.35.161,69ms,66ms,38ms
sureena.ns.cloudflare.com,108.162.194.126,69ms,58ms,192ms
zeus.ns.cloudflare.com,173.245.59.249,69ms,67ms,39ms
aiden.ns.cloudflare.com,173.245.59.55,70ms,67ms,196ms
alex.ns.cloudflare.com,172.64.33.100,70ms,56ms,198ms
ali.ns.cloudflare.com,172.64.32.59,70ms,75ms,42ms
alla.ns.cloudflare.com,108.162.192.62,70ms,56ms,207ms
annalise.ns.cloudflare.com,172.64.34.234,70ms,65ms,48ms
bill.ns.cloudflare.com,172.64.33.74,70ms,76ms,28ms
bjorn.ns.cloudflare.com,162.159.44.98,70ms,63ms,177ms
cash.ns.cloudflare.com,173.245.59.81,70ms,57ms,169ms
donna.ns.cloudflare.com,173.245.58.151,70ms,68ms,超时
mimi.ns.cloudflare.com,173.245.58.203,70ms,75ms,190ms
piers.ns.cloudflare.com,162.159.44.16,70ms,54ms,超时
aisha.ns.cloudflare.com,172.64.34.186,71ms,73ms,215ms
alfred.ns.cloudflare.com,162.159.44.131,71ms,60ms,192ms
chip.ns.cloudflare.com,173.245.59.84,71ms,72ms,37ms
coco.ns.cloudflare.com,172.64.32.104,71ms,74ms,203ms
collins.ns.cloudflare.com,172.64.34.226,71ms,87ms,211ms
deb.ns.cloudflare.com,173.245.58.92,71ms,73ms,超时
dion.ns.cloudflare.com,108.162.193.156,71ms,73ms,超时
glen.ns.cloudflare.com,172.64.33.169,71ms,61ms,35ms
iris.ns.cloudflare.com,108.162.192.118,71ms,78ms,201ms
jason.ns.cloudflare.com,172.64.33.179,71ms,55ms,200ms
lilyana.ns.cloudflare.com,108.162.194.244,71ms,59ms,182ms
maxim.ns.cloudflare.com,108.162.195.198,71ms,67ms,216ms
ram.ns.cloudflare.com,108.162.193.225,71ms,73ms,208ms
stephane.ns.cloudflare.com,162.159.38.112,71ms,84ms,204ms
zod.ns.cloudflare.com,173.245.59.250,71ms,68ms,28ms
adele.ns.cloudflare.com,108.162.194.156,72ms,66ms,184ms
brady.ns.cloudflare.com,172.64.35.215,72ms,66ms,167ms
brianna.ns.cloudflare.com,173.245.58.245,72ms,65ms,175ms
bristol.ns.cloudflare.com,172.64.34.47,72ms,93ms,175ms
colette.ns.cloudflare.com,172.64.34.28,72ms,65ms,198ms
dane.ns.cloudflare.com,173.245.59.97,72ms,58ms,190ms
dell.ns.cloudflare.com,172.64.32.94,72ms,68ms,超时
fiona.ns.cloudflare.com,173.245.58.157,72ms,74ms,205ms
gloria.ns.cloudflare.com,172.64.34.16,72ms,72ms,213ms
jacqueline.ns.cloudflare.com,108.162.194.132,72ms,64ms,193ms
jean.ns.cloudflare.com,108.162.192.121,72ms,58ms,186ms
jeff.ns.cloudflare.com,173.245.59.124,72ms,60ms,196ms
langston.ns.cloudflare.com,172.64.35.252,72ms,61ms,201ms
marge.ns.cloudflare.com,108.162.192.191,72ms,65ms,181ms
mckinley.ns.cloudflare.com,172.64.34.73,72ms,72ms,197ms
sam.ns.cloudflare.com,172.64.33.141,72ms,69ms,233ms
aida.ns.cloudflare.com,108.162.192.58,73ms,58ms,206ms
drake.ns.cloudflare.com,108.162.195.14,73ms,58ms,40ms
hassan.ns.cloudflare.com,172.64.35.149,73ms,64ms,201ms
ignat.ns.cloudflare.com,162.159.44.19,73ms,55ms,171ms
jaime.ns.cloudflare.com,108.162.195.102,73ms,65ms,202ms
johnathan.ns.cloudflare.com,108.162.195.44,73ms,58ms,220ms
leo.ns.cloudflare.com,172.64.35.241,73ms,73ms,213ms
malcolm.ns.cloudflare.com,162.159.44.81,73ms,66ms,178ms
maya.ns.cloudflare.com,108.162.192.194,73ms,58ms,203ms
sarah.ns.cloudflare.com,108.162.194.218,73ms,72ms,34ms
sofia.ns.cloudflare.com,108.162.192.223,73ms,77ms,219ms
boyd.ns.cloudflare.com,172.64.33.75,74ms,65ms,34ms
carter.ns.cloudflare.com,108.162.193.80,74ms,70ms,176ms
chase.ns.cloudflare.com,108.162.195.156,74ms,71ms,197ms
clayton.ns.cloudflare.com,172.64.35.226,74ms,83ms,197ms
clint.ns.cloudflare.com,108.162.193.90,74ms,71ms,190ms
ezra.ns.cloudflare.com,172.64.35.15,74ms,64ms,201ms
graham.ns.cloudflare.com,108.162.193.171,74ms,86ms,208ms
harley.ns.cloudflare.com,108.162.195.128,74ms,66ms,201ms
hera.ns.cloudflare.com,108.162.192.162,74ms,57ms,171ms
itzel.ns.cloudflare.com,108.162.194.42,74ms,68ms,29ms
janet.ns.cloudflare.com,173.245.58.169,74ms,60ms,185ms
jill.ns.cloudflare.com,108.162.192.122,74ms,71ms,218ms
kara.ns.cloudflare.com,172.64.32.123,74ms,72ms,214ms
kira.ns.cloudflare.com,172.64.34.197,74ms,74ms,超时
leonidas.ns.cloudflare.com,172.64.35.101,74ms,73ms,175ms
lindsey.ns.cloudflare.com,108.162.194.5,74ms,64ms,45ms
magali.ns.cloudflare.com,172.64.34.29,74ms,71ms,211ms
mallory.ns.cloudflare.com,172.64.34.83,74ms,59ms,186ms
mario.ns.cloudflare.com,172.64.33.203,74ms,74ms,220ms
mitch.ns.cloudflare.com,172.64.33.208,74ms,69ms,202ms
nick.ns.cloudflare.com,172.64.33.213,74ms,68ms,205ms
paislee.ns.cloudflare.com,172.64.34.183,74ms,81ms,197ms
raegan.ns.cloudflare.com,108.162.194.158,74ms,59ms,187ms
serenity.ns.cloudflare.com,162.159.38.108,74ms,71ms,196ms
sky.ns.cloudflare.com,162.159.38.2,74ms,55ms,209ms
stan.ns.cloudflare.com,173.245.59.235,74ms,74ms,42ms
tate.ns.cloudflare.com,108.162.195.191,74ms,73ms,201ms
thomas.ns.cloudflare.com,173.245.59.238,74ms,65ms,203ms
blakely.ns.cloudflare.com,108.162.194.96,75ms,72ms,185ms
brodie.ns.cloudflare.com,162.159.44.237,75ms,80ms,181ms
chin.ns.cloudflare.com,173.245.58.84,75ms,64ms,180ms
cory.ns.cloudflare.com,172.64.33.93,75ms,63ms,207ms
eva.ns.cloudflare.com,173.245.58.114,75ms,67ms,203ms
ganz.ns.cloudflare.com,172.64.35.40,75ms,59ms,37ms
hazel.ns.cloudflare.com,172.64.34.157,75ms,56ms,179ms
isaac.ns.cloudflare.com,173.245.59.177,75ms,86ms,38ms
isla.ns.cloudflare.com,173.245.58.119,75ms,82ms,186ms
jakub.ns.cloudflare.com,162.159.44.85,75ms,44ms,196ms
jeremy.ns.cloudflare.com,173.245.59.180,75ms,55ms,192ms
leif.ns.cloudflare.com,162.159.44.222,75ms,66ms,超时
megan.ns.cloudflare.com,108.162.192.197,75ms,75ms,36ms
rosa.ns.cloudflare.com,173.245.58.228,75ms,65ms,超时
toby.ns.cloudflare.com,108.162.193.239,75ms,73ms,247ms
tosana.ns.cloudflare.com,172.64.35.43,75ms,58ms,208ms
zita.ns.cloudflare.com,172.64.32.243,75ms,76ms,193ms
becky.ns.cloudflare.com,173.245.58.73,76ms,62ms,183ms
garrett.ns.cloudflare.com,172.64.35.195,76ms,70ms,200ms
hank.ns.cloudflare.com,108.162.193.116,76ms,65ms,180ms
houston.ns.cloudflare.com,172.64.35.52,76ms,57ms,193ms
jobs.ns.cloudflare.com,108.162.193.183,76ms,58ms,35ms
june.ns.cloudflare.com,172.64.32.176,76ms,75ms,192ms
nelly.ns.cloudflare.com,108.162.192.209,76ms,81ms,211ms
stevie.ns.cloudflare.com,172.64.34.106,76ms,70ms,187ms
zahir.ns.cloudflare.com,162.159.44.145,76ms,65ms,190ms
amalia.ns.cloudflare.com,162.159.38.94,77ms,76ms,196ms
amir.ns.cloudflare.com,108.162.193.62,77ms,65ms,197ms
braden.ns.cloudflare.com,172.64.35.169,77ms,73ms,31ms
chris.ns.cloudflare.com,172.64.33.85,77ms,80ms,210ms
david.ns.cloudflare.com,172.64.33.152,77ms,88ms,216ms
justin.ns.cloudflare.com,173.245.59.187,77ms,72ms,232ms
katja.ns.cloudflare.com,162.159.38.53,77ms,78ms,180ms
kipp.ns.cloudflare.com,108.162.195.240,77ms,66ms,213ms
magdalena.ns.cloudflare.com,108.162.194.8,77ms,77ms,33ms
perla.ns.cloudflare.com,172.64.34.203,77ms,70ms,超时
pola.ns.cloudflare.com,108.162.192.214,77ms,61ms,242ms
asa.ns.cloudflare.com,172.64.32.246,78ms,72ms,195ms
dante.ns.cloudflare.com,108.162.195.10,78ms,67ms,29ms
dax.ns.cloudflare.com,108.162.195.133,78ms,80ms,187ms
dorthy.ns.cloudflare.com,173.245.58.249,78ms,61ms,202ms
kevin.ns.cloudflare.com,172.64.33.191,78ms,63ms,35ms
marjory.ns.cloudflare.com,108.162.192.193,78ms,71ms,207ms
mina.ns.cloudflare.com,162.159.38.251,78ms,56ms,195ms
rosemary.ns.cloudflare.com,172.64.34.77,78ms,59ms,205ms
trey.ns.cloudflare.com,173.245.59.242,78ms,61ms,226ms
dara.ns.cloudflare.com,108.162.192.91,79ms,83ms,202ms
deborah.ns.cloudflare.com,108.162.194.111,79ms,72ms,204ms
sonny.ns.cloudflare.com,172.64.35.66,79ms,65ms,超时
bart.ns.cloudflare.com,173.245.59.71,80ms,77ms,196ms
ethan.ns.cloudflare.com,162.159.44.232,80ms,74ms,207ms
gracie.ns.cloudflare.com,108.162.194.144,80ms,66ms,205ms
mike.ns.cloudflare.com,108.162.195.63,80ms,74ms,196ms
nikon.ns.cloudflare.com,172.64.35.176,80ms,74ms,199ms
norman.ns.cloudflare.com,108.162.193.217,80ms,74ms,32ms
shane.ns.cloudflare.com,108.162.195.57,80ms,71ms,214ms
sierra.ns.cloudflare.com,108.162.194.245,80ms,65ms,超时
tia.ns.cloudflare.com,172.64.32.229,80ms,69ms,35ms
titan.ns.cloudflare.com,162.159.44.93,80ms,66ms,204ms
denver.ns.cloudflare.com,108.162.195.196,81ms,71ms,超时
eve.ns.cloudflare.com,172.64.34.204,81ms,58ms,37ms
hans.ns.cloudflare.com,172.64.33.175,81ms,64ms,191ms
keenan.ns.cloudflare.com,108.162.195.11,81ms,70ms,180ms
melina.ns.cloudflare.com,162.159.38.184,81ms,76ms,超时
rudy.ns.cloudflare.com,172.64.33.229,81ms,59ms,超时
archer.ns.cloudflare.com,108.162.195.136,82ms,84ms,超时
candy.ns.cloudflare.com,108.162.192.79,82ms,65ms,超时
carla.ns.cloudflare.com,108.162.194.86,82ms,64ms,205ms
casey.ns.cloudflare.com,108.162.195.158,82ms,68ms,171ms
ernest.ns.cloudflare.com,172.64.33.164,82ms,70ms,超时
hal.ns.cloudflare.com,172.64.33.174,82ms,65ms,184ms
kelly.ns.cloudflare.com,172.64.34.91,82ms,67ms,193ms
lia.ns.cloudflare.com,108.162.192.185,82ms,83ms,204ms
reese.ns.cloudflare.com,172.64.35.117,82ms,89ms,209ms
alan.ns.cloudflare.com,172.64.33.57,83ms,67ms,208ms
cesar.ns.cloudflare.com,108.162.195.119,83ms,61ms,31ms
coleman.ns.cloudflare.com,172.64.35.64,83ms,超时,28ms
dom.ns.cloudflare.com,108.162.193.157,83ms,78ms,超时
hayes.ns.cloudflare.com,162.159.44.245,83ms,46ms,172ms
mckenzie.ns.cloudflare.com,162.159.38.253,83ms,47ms,204ms
morgan.ns.cloudflare.com,172.64.35.132,83ms,73ms,38ms
nicole.ns.cloudflare.com,172.64.32.211,83ms,74ms,205ms
remy.ns.cloudflare.com,162.159.44.115,83ms,77ms,189ms
yolanda.ns.cloudflare.com,108.162.192.241,83ms,67ms,28ms
donovan.ns.cloudflare.com,172.64.35.114,84ms,67ms,超时
kristin.ns.cloudflare.com,173.245.58.181,84ms,67ms,216ms
rayne.ns.cloudflare.com,172.64.34.11,84ms,75ms,179ms
damian.ns.cloudflare.com,108.162.195.50,85ms,55ms,209ms
gene.ns.cloudflare.com,173.245.58.158,85ms,70ms,199ms
hugh.ns.cloudflare.com,172.64.33.117,85ms,67ms,189ms
kiki.ns.cloudflare.com,172.64.32.180,85ms,65ms,222ms
kirk.ns.cloudflare.com,108.162.193.192,85ms,65ms,209ms
margaret.ns.cloudflare.com,162.159.38.107,85ms,54ms,175ms
rayden.ns.cloudflare.com,108.162.195.163,85ms,62ms,192ms
viddy.ns.cloudflare.com,108.162.195.99,85ms,61ms,32ms
alberto.ns.cloudflare.com,172.64.35.18,86ms,73ms,37ms
alexa.ns.cloudflare.com,172.64.34.215,86ms,73ms,195ms
henrik.ns.cloudflare.com,108.162.195.105,86ms,67ms,178ms
mcgrory.ns.cloudflare.com,172.64.35.170,86ms,65ms,205ms
milan.ns.cloudflare.com,108.162.195.21,86ms,81ms,192ms
raphaela.ns.cloudflare.com,172.64.34.192,86ms,73ms,185ms
rosalyn.ns.cloudflare.com,162.159.38.59,86ms,53ms,215ms
sharon.ns.cloudflare.com,173.245.58.221,86ms,74ms,190ms
beau.ns.cloudflare.com,172.64.33.73,87ms,62ms,202ms
cecelia.ns.cloudflare.com,172.64.34.135,87ms,68ms,213ms
fattouche.ns.cloudflare.com,108.162.195.48,87ms,64ms,45ms
jay.ns.cloudflare.com,172.64.33.123,87ms,60ms,32ms
ollie.ns.cloudflare.com,172.64.34.71,87ms,67ms,37ms
abdullah.ns.cloudflare.com,172.64.35.203,88ms,81ms,218ms
annabel.ns.cloudflare.com,172.64.34.207,88ms,59ms,42ms
anton.ns.cloudflare.com,162.159.44.175,88ms,61ms,217ms
bonnie.ns.cloudflare.com,108.162.192.76,89ms,65ms,38ms
kellen.ns.cloudflare.com,172.64.35.160,89ms,64ms,194ms
marissa.ns.cloudflare.com,108.162.194.114,89ms,68ms,39ms
rory.ns.cloudflare.com,172.64.35.166,89ms,64ms,36ms
andronicus.ns.cloudflare.com,172.64.35.113,90ms,57ms,191ms
alina.ns.cloudflare.com,173.245.58.61,91ms,77ms,192ms
finley.ns.cloudflare.com,108.162.195.58,91ms,82ms,超时
indie.ns.cloudflare.com,108.162.194.163,91ms,58ms,184ms
liv.ns.cloudflare.com,108.162.192.188,91ms,59ms,208ms
anastasia.ns.cloudflare.com,172.64.34.227,92ms,59ms,193ms
agustin.ns.cloudflare.com,172.64.35.90,93ms,77ms,202ms
penny.ns.cloudflare.com,108.162.194.124,93ms,72ms,42ms
gabe.ns.cloudflare.com,173.245.59.114,94ms,66ms,212ms
vin.ns.cloudflare.com,172.64.33.245,96ms,101ms,39ms
violet.ns.cloudflare.com,108.162.192.237,96ms,87ms,39ms
troy.ns.cloudflare.com,108.162.195.218,98ms,78ms,215ms
harmony.ns.cloudflare.com,162.159.38.146,超时,52ms,174ms
luke.ns.cloudflare.com,172.64.33.200,超时,68ms,43ms
roan.ns.cloudflare.com,173.245.59.226,超时,80ms,221ms
